,SchoolTo,SchoolToYear,SchoolFrom,SchoolFromYear,Subject,SchoolToCourseDept,SchoolToCourseNo,SchoolToCourseTitle,SchoolToCourseUnits,SchoolFromCourseDept,SchoolFromCourseNo,SchoolFromCourseTitle,SchoolFromCourseUnits
0,"University of California, Berkeley",2019-2020,Cypress College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,HIST,135 C,History of Africa,3
0,"University of California, Berkeley",2019-2020,Merritt College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,AFRAM,30,African-American History: Africa to 1865,3
0,"University of California, Berkeley",2019-2020,San Joaquin Delta College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,HIST,30A,African-American History to 1877,3
0,"University of California, Berkeley",2019-2020,San Diego City College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,BLAS,145A,Introduction to African History,3
0,"University of California, Berkeley",2019-2020,San Diego Mesa College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,BLAS,145A,Introduction to African History,3
0,"University of California, Berkeley",2019-2020,Fresno City College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,AFRAM,4,Classical and Pre Colonial Africa,3
0,"University of California, Berkeley",2019-2020,Mount San Antonio College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,HIST,35,History of Africa,3
0,"University of California, Berkeley",2019-2020,College of Marin,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,HIST,238,History of Africa,3
0,"University of California, Berkeley",2019-2020,De Anza College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,ICS,16A,History of Africa to 1800,4
0,"University of California, Berkeley",2019-2020,Santa Monica College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,ANTHRO || HIST,20 || 38,Traditional Peoples and Cultures of Africa || African History I,3.00 || 3.00
0,"University of California, Berkeley",2019-2020,Imperial Valley College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,MiraCosta College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Grossmont College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Los Angeles Harbor College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Antelope Valley College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Irvine Valley College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Pasadena City College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Woodland Community College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Gavilan College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Los Angeles Pierce College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Chabot College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Sierra College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Santa Rosa Junior College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Coastline Community College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Orange Coast College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Palo Verde College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,College of the Siskiyous,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Berkeley City College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Evergreen Valley College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Yuba College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Mission College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Canada College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,College of the Sequoias,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
0,"University of California, Berkeley",2019-2020,Modesto Junior College,2019-2020,African American Studies,AFRICAM,4A,Africa: History and Culture,4,,,,
